收寄城市,寄达城市,车辆使用情况,车辆成本
保定,太原,"保定-太原的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",3098.556
保定,侯马,,
保定,呼和浩特,,
保定,包头,,
保定,沈阳,,
保定,大连,,
保定,锦州,,
保定,长春,,
保定,哈尔滨,,
保定,上海,"保定-上海的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",12460.899000000001
保定,南京,"保定-南京的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,1辆12t委办车",25416.659999999996
保定,常州,,
保定,无锡,,
保定,苏州,,
保定,徐州,,
保定,连云港,,
保定,淮安,,
保定,盐城,,
保定,扬州,,
保定,南通,,
保定,杭州,,
保定,湖州,,
保定,嘉兴,,
保定,宁波,,
保定,台州,,
保定,金华,,
保定,义乌,,
保定,温州,,
保定,合肥,,
保定,蚌埠,,
保定,芜湖,,
保定,安庆,,
保定,福州,,
保定,厦门,,
保定,泉州,,
保定,南昌,,
保定,鹰潭,,
保定,赣州,,
保定,济南,"保定-济南的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,1辆20t委办车,1辆12t委办车",12356.343
保定,潍坊,,
保定,烟台,,
保定,青岛,,
保定,济宁,,
保定,临沂,,
保定,郑州,"保定-郑州的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,2辆20t委办车,2辆12t委办车",34513.095
保定,漯河,,
保定,信阳,,
保定,洛阳,,
保定,武汉,,
保定,荆州,,
保定,襄阳,,
保定,长沙,,
保定,常德,,
保定,衡阳,,
保定,广州,,
保定,汕头,,
保定,深圳,,
保定,东莞,,
保定,湛江,,
保定,中山,"保定-中山的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",21862.155
保定,南宁,,
保定,柳州,,
保定,海口,,
保定,重庆,,
保定,成都,"保定-成都的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",28922.616
保定,南充,,
保定,内江,,
保定,贵阳,,
保定,昆明,,
保定,大理州,,
保定,拉萨,,
保定,西安,"保定-西安的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,0辆20t委办车,0辆12t委办车",30765.239999999998
保定,宝鸡,,
保定,兰州,,
保定,西宁,,
保定,银川,,
保定,乌鲁木齐,,
保定,阿克苏,,
保定,喀什,,
太原,北京,"太原-北京的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",10304.779999999999
太原,天津,"太原-天津的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",8763.387999999999
太原,石家庄,"太原-石家庄的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1863.8999999999999
太原,唐山,,
太原,廊坊,,
太原,保定,,
太原,太原,,
太原,侯马,"太原-侯马的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",4749.447999999999
太原,呼和浩特,"太原-呼和浩特的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,2辆20t委办车,0辆12t委办车",16427.086
太原,包头,,
太原,沈阳,"太原-沈阳的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",11472.733999999999
