收寄城市,寄达城市,流量_集包,流量_大件,总流量
宝鸡,保定,1,87,88
宝鸡,上海,4,814,818
宝鸡,蚌埠,1,98,99
宝鸡,嘉兴,1,100,101
宝鸡,温州,1,175,176
宝鸡,鹰潭,1,47,48
宝鸡,武汉,3,559,562
宝鸡,深圳,3,675,678
兰州,石家庄,4,119,123
兰州,大连,2,71,73
兰州,哈尔滨,6,158,164
兰州,上海,11,387,398
兰州,南京,5,169,174
兰州,合肥,3,88,91
兰州,芜湖,1,34,35
兰州,临沂,2,38,40
兰州,金华,2,66,68
兰州,赣州,2,32,34
兰州,湛江,2,53,55
兰州,贵阳,4,101,105
兰州,大理州,1,27,28
银川,大连,2,21,23
银川,常州,2,22,24
银川,扬州,1,11,12
银川,鹰潭,1,6,7
银川,汕头,3,30,33
西宁,锦州,1,12,13
西宁,扬州,1,8,9
西宁,青岛,1,43,44
西宁,金华,1,19,20
西宁,鹰潭,1,6,7
西宁,常德,1,12,13
西宁,中山,1,20,21
西宁,海口,1,15,16
西宁,成都,5,185,190
西宁,内江,1,5,6
西宁,银川,2,41,43
乌鲁木齐,太原,2,93,95
乌鲁木齐,石家庄,2,122,124
乌鲁木齐,南通,1,55,56
乌鲁木齐,济南,4,216,220
乌鲁木齐,济宁,1,34,35
乌鲁木齐,常德,1,34,35
乌鲁木齐,内江,1,23,24
乌鲁木齐,西宁,1,57,58
阿克苏,包头,1,2,3
阿克苏,侯马,1,10,11
阿克苏,沈阳,1,26,27
阿克苏,扬州,1,4,5
阿克苏,济宁,1,5,6
阿克苏,宁波,1,12,13
阿克苏,福州,1,14,15
阿克苏,中山,1,12,13
阿克苏,贵阳,1,17,18
阿克苏,海口,1,6,7
阿克苏,宝鸡,1,6,7
阿克苏,拉萨,1,5,6
喀什,大连,1,3,4
喀什,徐州,1,10,11
喀什,扬州,1,1,2
喀什,烟台,1,2,3
喀什,荆州,1,2,3
喀什,郑州,1,16,17
喀什,漯河,1,8,9
喀什,深圳,1,9,10
喀什,湛江,1,1,2
喀什,柳州,1,3,4
喀什,阿克苏,1,16,17
拉萨,廊坊,1,2,3
拉萨,北京,1,32,33
拉萨,无锡,1,2,3
拉萨,蚌埠,1,3,4
拉萨,宁波,1,3,4
拉萨,长沙,2,28,30
拉萨,襄阳,1,3,4
拉萨,广州,1,37,38
拉萨,昆明,1,28,29
拉萨,大理州,1,8,9
南京,扬州,83,1007,1090
南京,盐城,81,1001,1082
南京,南通,134,1570,1704
苏州,南京,251,1989,2240
连云港,常州,50,314,364
淮安,常州,51,521,572
徐州,扬州,54,870,924
徐州,常州,122,2156,2278
徐州,无锡,110,2006,2116
扬州,无锡,37,399,436
扬州,南京,72,782,854
南通,淮安,19,353,372
南通,连云港,25,528,553
济南,济宁,157,1637,1794
杭州,台州,326,716,1042
嘉兴,温州,135,391,526
温州,嘉兴,131,498,629
泉州,福州,146,4393,4539
郑州,漯河,183,2775,2958
广州,广州,804,9630,10434
石家庄,长春,206,2420,2626
石家庄,侯马,123,1364,1487
石家庄,哈尔滨,269,3152,3421
石家庄,济南,332,3937,4269
石家庄,襄阳,45,484,529
天津,哈尔滨,67,2224,2291
廊坊,天津,64,615,679
廊坊,哈尔滨,65,581,646
廊坊,徐州,17,157,174
廊坊,济南,57,518,575
廊坊,福州,28,236,264
廊坊,漯河,21,156,177
廊坊,昆明,26,251,277
廊坊,西安,61,544,605
保定,中山,36,270,306
保定,青岛,76,646,722
保定,兰州,60,490,550
保定,南昌,52,423,475
沈阳,徐州,60,429,489
沈阳,郑州,102,785,887
沈阳,洛阳,31,217,248
沈阳,昆明,48,393,441
长春,天津,43,1221,1264
长春,北京,65,1939,2004
长春,郑州,29,617,646
南京,沈阳,196,2295,2491
南京,天津,158,1961,2119
南京,襄阳,40,456,496
扬州,中山,33,345,378
扬州,贵阳,67,642,709
