收寄城市,寄达城市,经转次数,路线
沈阳,银川,1,沈阳-北京-银川
沈阳,乌鲁木齐,1,沈阳-西安-乌鲁木齐
沈阳,唐山,1,沈阳-天津-唐山
沈阳,廊坊,0,沈阳-廊坊
沈阳,保定,1,沈阳-廊坊-保定
沈阳,侯马,1,沈阳-北京-侯马
沈阳,包头,1,沈阳-呼和浩特-包头
沈阳,大连,0,沈阳-大连
沈阳,锦州,0,沈阳-锦州
沈阳,常州,1,沈阳-南京-常州
沈阳,无锡,1,沈阳-济南-无锡
沈阳,苏州,1,沈阳-南京-苏州
沈阳,徐州,1,沈阳-济南-徐州
沈阳,连云港,1,沈阳-南京-连云港
沈阳,淮安,1,沈阳-南京-淮安
沈阳,盐城,1,沈阳-南京-盐城
沈阳,扬州,1,沈阳-南京-扬州
沈阳,南通,1,沈阳-南京-南通
沈阳,湖州,1,沈阳-南京-湖州
沈阳,嘉兴,1,沈阳-南京-嘉兴
沈阳,宁波,1,沈阳-南京-宁波
沈阳,台州,1,沈阳-南京-台州
沈阳,金华,1,沈阳-南京-金华
沈阳,义乌,1,沈阳-杭州-义乌
沈阳,温州,1,沈阳-南京-温州
沈阳,蚌埠,1,沈阳-济南-蚌埠
沈阳,芜湖,1,沈阳-南京-芜湖
沈阳,安庆,1,沈阳-南京-安庆
沈阳,厦门,1,沈阳-南京-厦门
沈阳,泉州,1,沈阳-郑州-泉州
沈阳,鹰潭,1,沈阳-南京-鹰潭
沈阳,赣州,1,沈阳-广州-赣州
沈阳,潍坊,1,沈阳-济南-潍坊
沈阳,烟台,1,沈阳-济南-烟台
沈阳,青岛,1,沈阳-北京-青岛
沈阳,济宁,1,沈阳-济南-济宁
沈阳,临沂,1,沈阳-济南-临沂
沈阳,漯河,1,沈阳-郑州-漯河
沈阳,信阳,1,沈阳-郑州-信阳
沈阳,洛阳,1,沈阳-郑州-洛阳
沈阳,荆州,1,沈阳-武汉-荆州
沈阳,襄阳,1,沈阳-郑州-襄阳
沈阳,常德,1,沈阳-长沙-常德
沈阳,衡阳,1,沈阳-长沙-衡阳
沈阳,汕头,1,沈阳-杭州-汕头
沈阳,深圳,1,沈阳-武汉-深圳
沈阳,东莞,1,沈阳-广州-东莞
沈阳,湛江,1,沈阳-广州-湛江
沈阳,中山,1,沈阳-广州-中山
沈阳,柳州,1,沈阳-广州-柳州
沈阳,南充,2,沈阳-石家庄-重庆-南充
沈阳,内江,2,沈阳-石家庄-重庆-内江
沈阳,大理州,2,沈阳-西安-昆明-大理州
沈阳,宝鸡,1,沈阳-西安-宝鸡
沈阳,阿克苏,1,沈阳-西安-阿克苏
沈阳,喀什,2,沈阳-西安-阿克苏-喀什
长春,北京,0,长春-北京
长春,天津,0,长春-天津
长春,石家庄,1,长春-天津-石家庄
长春,太原,1,长春-天津-太原
长春,呼和浩特,1,长春-北京-呼和浩特
长春,沈阳,0,长春-沈阳
长春,哈尔滨,0,长春-哈尔滨
长春,上海,1,长春-天津-上海
长春,南京,0,长春-南京
长春,杭州,1,长春-南京-杭州
长春,合肥,1,长春-济南-合肥
长春,福州,1,长春-济南-福州
长春,南昌,1,长春-天津-南昌
长春,济南,0,长春-济南
长春,郑州,0,长春-郑州
长春,武汉,1,长春-天津-武汉
长春,长沙,1,长春-天津-长沙
长春,广州,1,长春-天津-广州
长春,南宁,1,长春-郑州-南宁
长春,海口,2,长春-天津-长沙-海口
长春,重庆,1,长春-郑州-重庆
长春,成都,1,长春-郑州-成都
长春,贵阳,1,长春-北京-贵阳
长春,昆明,1,长春-郑州-昆明
长春,拉萨,2,长春-北京-西宁-拉萨
长春,西安,1,长春-天津-西安
长春,兰州,1,长春-北京-兰州
长春,西宁,1,长春-北京-西宁
长春,银川,1,长春-北京-银川
长春,乌鲁木齐,1,长春-郑州-乌鲁木齐
长春,唐山,1,长春-天津-唐山
长春,廊坊,1,长春-沈阳-廊坊
长春,保定,1,长春-北京-保定
长春,侯马,1,长春-北京-侯马
长春,包头,2,长春-北京-呼和浩特-包头
长春,大连,1,长春-沈阳-大连
长春,锦州,1,长春-沈阳-锦州
长春,常州,1,长春-南京-常州
长春,无锡,1,长春-济南-无锡
长春,苏州,1,长春-南京-苏州
长春,徐州,1,长春-济南-徐州
长春,连云港,1,长春-南京-连云港
长春,淮安,1,长春-南京-淮安
