收寄城市,寄达城市,运量（重量）
沈阳,石家庄,6270.2346
沈阳,唐山,0.0
沈阳,廊坊,3717.1274000000003
沈阳,保定,0.0
沈阳,太原,3357.4756
沈阳,侯马,0.0
沈阳,呼和浩特,4293.0894
沈阳,包头,0.0
沈阳,沈阳,0.0
沈阳,大连,9990.5702
沈阳,锦州,6571.2626
沈阳,长春,10961.589800000002
沈阳,哈尔滨,13278.191000000003
沈阳,上海,0.0
沈阳,南京,15931.04
沈阳,常州,0.0
沈阳,无锡,0.0
沈阳,苏州,0.0
沈阳,徐州,0.0
沈阳,连云港,0.0
沈阳,淮安,0.0
沈阳,盐城,0.0
沈阳,扬州,0.0
沈阳,南通,0.0
沈阳,杭州,4269.5392
沈阳,湖州,0.0
沈阳,嘉兴,0.0
沈阳,宁波,0.0
沈阳,台州,0.0
沈阳,金华,0.0
沈阳,义乌,0.0
沈阳,温州,0.0
沈阳,合肥,0.0
沈阳,蚌埠,0.0
沈阳,芜湖,0.0
沈阳,安庆,0.0
沈阳,福州,0.0
沈阳,厦门,0.0
沈阳,泉州,0.0
沈阳,南昌,0.0
沈阳,鹰潭,0.0
沈阳,赣州,0.0
沈阳,济南,15801.502800000002
沈阳,潍坊,0.0
沈阳,烟台,0.0
沈阳,青岛,0.0
沈阳,济宁,0.0
沈阳,临沂,0.0
沈阳,郑州,7333.608
沈阳,漯河,0.0
沈阳,信阳,0.0
沈阳,洛阳,0.0
沈阳,武汉,5621.8444
沈阳,荆州,0.0
沈阳,襄阳,0.0
沈阳,长沙,3771.3382
沈阳,常德,0.0
沈阳,衡阳,0.0
沈阳,广州,7944.961000000001
沈阳,汕头,0.0
沈阳,深圳,0.0
沈阳,东莞,0.0
沈阳,湛江,0.0
沈阳,中山,0.0
沈阳,南宁,0.0
沈阳,柳州,0.0
沈阳,海口,0.0
沈阳,重庆,0.0
沈阳,成都,0.0
沈阳,南充,0.0
沈阳,内江,0.0
沈阳,贵阳,0.0
沈阳,昆明,0.0
沈阳,大理州,0.0
沈阳,拉萨,0.0
沈阳,西安,10900.020600000002
沈阳,宝鸡,0.0
沈阳,兰州,0.0
沈阳,西宁,0.0
沈阳,银川,0.0
沈阳,乌鲁木齐,0.0
沈阳,阿克苏,0.0
沈阳,喀什,0.0
大连,北京,8505.713000000002
大连,天津,0.0
大连,石家庄,0.0
大连,唐山,0.0
大连,廊坊,0.0
大连,保定,0.0
大连,太原,0.0
大连,侯马,0.0
大连,呼和浩特,0.0
大连,包头,0.0
大连,沈阳,3918.8226000000004
大连,大连,0.0
大连,锦州,1486.5728
大连,长春,2209.563
大连,哈尔滨,2951.5664
大连,上海,0.0
大连,南京,3405.6272
大连,常州,0.0
大连,无锡,0.0
大连,苏州,0.0
大连,徐州,0.0
大连,连云港,0.0
大连,淮安,0.0
大连,盐城,0.0
大连,扬州,0.0
大连,南通,0.0
大连,杭州,1240.2044
大连,湖州,0.0
大连,嘉兴,0.0
大连,宁波,0.0
大连,台州,0.0
大连,金华,0.0
大连,义乌,0.0
大连,温州,0.0
大连,合肥,0.0
大连,蚌埠,0.0
大连,芜湖,0.0
大连,安庆,0.0
大连,福州,0.0
大连,厦门,0.0
大连,泉州,0.0
大连,南昌,0.0
大连,鹰潭,0.0
大连,赣州,0.0
大连,济南,0.0
大连,潍坊,0.0
大连,烟台,685.296
大连,青岛,0.0
大连,济宁,0.0
大连,临沂,0.0
大连,郑州,0.0
大连,漯河,0.0
大连,信阳,0.0
大连,洛阳,0.0
大连,武汉,0.0
大连,荆州,0.0
大连,襄阳,0.0
大连,长沙,0.0
大连,常德,0.0
大连,衡阳,0.0
大连,广州,0.0
大连,汕头,0.0
大连,深圳,0.0
大连,东莞,0.0
大连,湛江,0.0
大连,中山,0.0
大连,南宁,0.0
大连,柳州,0.0
大连,海口,0.0
大连,重庆,0.0
大连,成都,0.0
大连,南充,0.0
大连,内江,0.0
大连,贵阳,0.0
大连,昆明,0.0
大连,大理州,0.0
大连,拉萨,0.0
大连,西安,0.0
大连,宝鸡,0.0
大连,兰州,0.0
大连,西宁,0.0
大连,银川,0.0
大连,乌鲁木齐,0.0
大连,阿克苏,0.0
大连,喀什,0.0
锦州,北京,10446.7186
锦州,天津,0.0
锦州,石家庄,0.0
锦州,唐山,0.0
锦州,廊坊,0.0
锦州,保定,0.0
锦州,太原,0.0
锦州,侯马,0.0
锦州,呼和浩特,0.0
锦州,包头,0.0
锦州,沈阳,19301.378
锦州,大连,11927.3858
锦州,锦州,0.0
锦州,长春,0.0
锦州,哈尔滨,0.0
锦州,上海,0.0
锦州,南京,0.0
锦州,常州,0.0
锦州,无锡,0.0
锦州,苏州,0.0
锦州,徐州,0.0
锦州,连云港,0.0
锦州,淮安,0.0
锦州,盐城,0.0
锦州,扬州,0.0
锦州,南通,0.0
锦州,杭州,0.0
锦州,湖州,0.0
锦州,嘉兴,0.0
锦州,宁波,0.0
锦州,台州,0.0
锦州,金华,0.0
锦州,义乌,0.0
锦州,温州,0.0
锦州,合肥,0.0
锦州,蚌埠,0.0
锦州,芜湖,0.0
锦州,安庆,0.0
锦州,福州,0.0
锦州,厦门,0.0
锦州,泉州,0.0
锦州,南昌,0.0
锦州,鹰潭,0.0
锦州,赣州,0.0
锦州,济南,0.0
锦州,潍坊,0.0
锦州,烟台,0.0
锦州,青岛,0.0
锦州,济宁,0.0
锦州,临沂,0.0
锦州,郑州,0.0
锦州,漯河,0.0
锦州,信阳,0.0
锦州,洛阳,0.0
锦州,武汉,0.0
锦州,荆州,0.0
锦州,襄阳,0.0
锦州,长沙,0.0
锦州,常德,0.0
锦州,衡阳,0.0
锦州,广州,0.0
锦州,汕头,0.0
锦州,深圳,0.0
锦州,东莞,0.0
锦州,湛江,0.0
锦州,中山,0.0
锦州,南宁,0.0
锦州,柳州,0.0
锦州,海口,0.0
锦州,重庆,0.0
锦州,成都,0.0
锦州,南充,0.0
